Location,GPS,Native_Lands,Tags,Geological_Age,Ecology,Hydrology,Taxa,Acreage
Bighorn National Forest,"44.7878, -107.5081","Crow (Apsaalooke); Eastern Shoshone; Cheyenne (Tsitsistas); Arapaho (Hinono'eino); Lakota/Sioux; the Bighorn Mountains and Powder River Basin were contested hunting grounds, with Cheyenne ranging through Clear Creek Valley and the Powder/Bighorn/Tongue River country, Arapaho moving through the Bighorns alongside the Black Hills and Medicine Bow Range, and Lakota expanding west into Crow, Cheyenne, Arapaho, and Shoshone territory by the 1850s, dominating the Powder River Basin by mid-century; Treaty of Fort Laramie 1851 (Horse Creek Treaty) recognized roughly 38 million acres of Crow (Apsaalooke) territory including the Bighorns; Second Treaty of Fort Laramie 1868 reduced Crow recognized territory to about 8 million acres and established the Crow Indian Reservation in eastern Montana, while Crow leaders retained off-reservation hunting rights on ceded lands (affirmed in Herrera v. Wyoming, 2019); Eastern Shoshone settled on the Wind River Reservation per treaties of 1863 and 1868, later sharing it with the Northern Arapaho (1878); Medicine Wheel/Medicine Mountain, within the forest, remains a sacred ceremonial site for at least 16 tribal nations","[Wyoming, USFS, National Historic Landmark]",~2.84 billion years (Archean) granite-gneiss core (Bighorn Batholith); ~485-444 Mya Ordovician Bighorn Dolomite,"Lodgepole pine, subalpine fir, and Engelmann spruce dominate higher elevations, transitioning to ponderosa pine, Douglas fir, and aspen at lower elevations; alpine tundra, meadows, and lakes occur above treeline; wildlife includes elk, mule deer, moose, pronghorn, mountain lion, and a remnant population of bighorn sheep, the forest's namesake, though numbers have declined sharply due to disease transmission from domestic sheep grazing.","Headwaters of the Tongue River, fed by snowpack and spring groundwater, draining north into the Yellowstone River system; the forest also forms the divide between the Bighorn River drainage to the west and the Powder River drainage to the east, with the Tongue, Bighorn, and Powder Rivers all ultimately tributary to the Yellowstone River.",,"1,115,171"
Mount Rushmore National Memorial,"43.8791, -103.4595","Lakota (Thitunwan Oyate), specifically the Oceti Sakowin (Seven Council Fires): Oglala, Sicangu (Brule), Miniconjou, Hunkpapa, Sans Arc, Oohenunpa, and Sihasapa bands; Cheyenne (Tsitsistas); Arapaho (Hinono'eino); the Black Hills are He Sapa / Paha Sapa (heart of everything that is) in Lakota cosmology; the mountain carved as Mt. Rushmore was known as Tunkasila Sakpe Paha (Six Grandfathers) and was a sacred destination for vision quests; Treaty of Fort Laramie (1868) guaranteed the Great Sioux Reservation, including the Black Hills, for exclusive Sioux use; the U.S. coerced a defective agreement from roughly 10% of adult male Sioux (the Manypenny Agreement) and Congress unilaterally abrogated the 1868 treaty via the Act of February 28, 1877 (19 Stat. 254); in United States v. Sioux Nation of Indians (1980) the Supreme Court ruled the taking was an unconstitutional Fifth Amendment violation; the Lakota declined over $1 billion in compensation and continue to assert land rights","[South Dakota, NPS]","~1,715 Mya Paleoproterozoic Harney Peak leucogranite","Ponderosa pine (Pinus ponderosa) forest dominates, including one of the largest concentrations of old-growth ponderosa pine in the Black Hills; quaking aspen in drainages, Douglas fir on north-facing slopes; wildlife includes mule deer, mountain goat, yellow-bellied marmot, turkey vulture, and woodpeckers; bat species monitored in Starling Basin wetland complex.","Drains via Starling Basin, Lafferty Gulch, and East Boundary basins to Rapid Creek, a tributary of the Cheyenne River in the Missouri River basin; Starling Basin is the principal surface-water contributor and supports a wetland complex.",,"1,278"
Black Hills National Forest,"44.4197, -103.8072","Lakota (Thitunwan Oyate), the seven bands of the Oceti Sakowin: Oglala, Sicangu (Brule), Miniconjou, Hunkpapa, Sans Arc, Oohenunpa, and Sihasapa; Cheyenne (Tsitsistas/Suhtai); Arapaho (Hinono'eino); earlier presence of Crow, Kiowa, and Arikara; the Black Hills are Paha Sapa / He Sapa (heart of everything that is) to the Lakota, central to spirituality, ceremony, and subsistence; the Treaty of Fort Laramie (1868) guaranteed the Black Hills and all of present South Dakota west of the Missouri River for exclusive Sioux occupation; gold discovered during the 1874 Custer Expedition triggered an illegal invasion; the Act of February 28, 1877 stripped the Black Hills from the Sioux without the required three-fourths adult male consent; United States v. Sioux Nation of Indians (1980) ruled this an unconstitutional taking; the Sioux declined over $1 billion in compensation and continue to demand land return","[South Dakota, USFS]","~1,715 Mya Paleoproterozoic Harney Peak granite at the core; ~2,500 Mya Precambrian schist and quartzite; encircled by Paleozoic limestone and Cretaceous shale","Ponderosa pine (Pinus ponderosa) forest covers lower to mid elevations; white spruce at higher elevations; aspen, bur oak, and paper birch in riparian zones; mixed-grass prairie at lower margins; wildlife includes elk, mule deer, pronghorn, bighorn sheep, mountain goat, black bear, cougar, bald eagle, peregrine falcon, and approximately 200 bird species; prairie dog towns within the forest support black-footed ferret reintroduction efforts.","The Black Hills form the headwaters divide between the Cheyenne River (southern and eastern drainages) and the Belle Fourche River (northern drainage), both Missouri River tributaries; principal streams include Spearfish Creek, Rapid Creek, French Creek, and Beaver Creek; 11 stocked reservoirs; the Madison and Minnelusa aquifers are recharged within the Black Hills and provide the primary regional water supply for western South Dakota; karst springs at limestone formation bases produce unusually stable base flow.",,"1,253,308"
Badlands National Park,"43.8554, -102.3397","Oceti Sakowin (Great Sioux Nation, Seven Council Fires), specifically Oglala Lakota (Oglala Lakhota, ""They Scatter Their Own""); the Stronghold Unit (South Unit) lies entirely within the Pine Ridge Indian Reservation on land owned by the Oglala Sioux Tribe and co-managed with the National Park Service under formal agreement; Stronghold Table was the site of one of the last Ghost Dance ceremonies in 1890, shortly before the Wounded Knee Massacre","[South Dakota, NPS, National Park]","~34-23 Mya Oligocene-Eocene White River Group (Chadron, Brule, Sharps Formations)","The largest protected expanse of mixed grass prairie in the United States, supporting more than 400 plant species; home to American bison, the U.S. national mammal, and a reintroduced population of black footed ferrets, among the world's most endangered mammals, with roughly 120 individuals in the park.","Lies within the White River drainage; the prairie grasslands south of the Badlands Wall are drained by tributaries of the White River, which shapes the park's badland erosion and supports migratory wildlife corridors across the Great Plains.",,"242,756"
Pipestone National Monument,"44.0133, -96.325","Oceti Sakowin (Great Sioux Nation, Seven Council Fires); the quarries were treated as neutral ground where rival Plains nations peacefully extracted pipestone for ceremonial calumets across more than 3,000 years; Yankton Dakota (Ihanktunwan) maintained the traditional role of caretakers of the quarry; under the Yankton Treaty (1858), Article 8, Yankton chief Struck-by-the-Ree (Pan Tanka Sapa Wicasa) secured a one-mile-square reserved tract around the quarry for continued Dakota quarrying use even as surrounding land was ceded; the U.S. government attempted to seize the tract in 1899, and the Yankton Sioux Tribe won restitution at the U.S. Supreme Court in 1926; the reserved tract became the core of Pipestone National Monument, established 1937, today administered in consultation with 23 federally affiliated tribal nations who retain free quarry permit rights","[Minnesota, NPS, National Historic Landmark]","~1,700 Mya Paleoproterozoic Sioux quartzite (catlinite/pipestone argillite interbeds)","Tallgrass prairie, including sections never plowed, supports more than 500 plant species, roughly 100 bird species, 25 mammal species, 26 fish species, and 45 macroinvertebrate species within the Coteau des Prairies.",Pipestone Creek runs through the monument and drops over Winnewissa Falls along the three-quarter-mile Circle Trail; the catlinite quarry pits sit immediately along the creek within outcrops of Sioux quartzite.,,301
Palisades State Park,"43.69, -96.514","Oceti Sakowin (Great Sioux Nation, Seven Council Fires); the Big Sioux River and Split Rock Creek corridor lay along the boundary between Sisseton-Wahpeton Dakota territory to the east and Yankton Dakota territory to the south and west; Sisseton and Wahpeton Dakota ceded lands extending west to the Big Sioux River under the Treaty of Traverse des Sioux (1851), while Yankton Dakota retained competing claims to portions of this country until the Yankton Treaty of 1858 established the Yankton Sioux Reservation and extinguished Yankton title to the ceded lands to its east","[South Dakota, State park]","~1,700 Mya Paleoproterozoic Sioux quartzite",Native tallgrass prairie and woodland border Split Rock Creek's quartzite gorge; a 2018-19 expansion added riparian habitat and woody plantings along the creek corridor.,"Split Rock Creek, part of the Big Sioux River watershed, runs through a gorge cut into Sioux quartzite, forming palisades and shelf cliffs up to 50 feet tall.",,435
Myre-Big Island State Park,"43.6372, -93.3089","Wahpekute (Wahpahkoota, ""Shooters Among the Leaves""), the southernmost band of the Dakota (Oceti Sakowin), held the Albert Lea lakes region as core homeland, with at least 9,000 years of documented continuous Indigenous occupation; Sisseton (Sisitunwan, ""People of the Boggy Ground"") territory also extended into southern Minnesota; Lt. Albert Miller Lea led the first documented Euro-American military survey of Freeborn County in 1835, at that time still unambiguously Dakota land; Wahpekute and Mdewakanton bands ceded all of southern Minnesota including Freeborn County under the Treaty of Mendota (August 5, 1851) for $1,410,000 and relocation to a narrow Minnesota River reservation; following the U.S.-Dakota War (1862), Congress passed the Sioux Removal Act (March 3, 1863) banishing all Dakota bands from Minnesota; hundreds of Dakota women, children, and elders died in a winter internment camp on Pike Island before mass exile to Nebraska and Dakota Territory","[Minnesota, State park]",~375 Mya Middle to Late Devonian limestone and dolomite,"Oak savanna, wet lowlands, and glacially deposited esker ridges characterize the mainland; the 116-acre Big Island supports a rare remnant of old-growth sugar maple and basswood forest, one of the few remaining in southern Minnesota; Albert Lea Lake draws large concentrations of American white pelicans and waterfowl during spring and fall migration; prairie and wetland restoration via controlled burns is ongoing.","Albert Lea Lake (2,669 acres, mean depth 3.5 ft), a glacially formed moraine-dammed lake, borders the park on its eastern edge; the Shell Rock River originates at the Albert Lea Lake outlet and flows 113 miles south into Iowa, joining the Cedar River and then the Mississippi; total upland drainage to Albert Lea Lake is approximately 89,500 acres; the lake has experienced chronic phosphorus loading and algae blooms, with an electric fish barrier and water control structure installed to manage invasive carp.",,"1,578"
Maquoketa Caves State Park,"42.1203, -90.7678","Báxoje (Ioway, ""grey snow people"") held the Mississippi River corridor and Iowa River drainage as core territory; Sauk (Ozaakiiwaki) and Meskwaki (Meshkwahkihaki, ""Red-Earths people"") moved into eastern Iowa during the 18th century after conflicts with French colonists and by 1800 claimed the eastern Iowa strip including the Maquoketa River valley; the river name derives from the Meskwaki Maquaw-Autaw, meaning ""Bear River""; Ho-Chunk (Hochungra) were placed in the Neutral Ground of northeast Iowa after 1832 as a buffer between Sauk-Meskwaki and Dakota peoples; Woodland-period peoples used the caves as winter shelter, leaving pottery, stone tools, and projectile points; Sauk and Meskwaki ceded the eastern Iowa strip under the Black Hawk Purchase, Treaty with the Sauk and Foxes (September 21, 1832, Royce Cession 175), with Black Hawk held prisoner during signing; remaining Iowa claims were extinguished by treaties in 1836, 1837, and 1842, with final removal west of the Missouri River completed by 1846; a Meskwaki band purchased land and returned to Iowa in 1856, remaining at the Meskwaki Settlement in Tama County","[Iowa, State park]",~430 Mya Silurian dolomite (Hopkinton and Scotch Grove formations) overlying Late Ordovician Maquoketa Formation limestone and shale,"Mixed hardwood forest of upland white oak, red oak, and sugar maple on ridgetops and slopes; shaded ravines and dolomite bluff faces support rare species including yellow lady's slipper orchid, leatherwood, and gromwell; the park sits in the Driftless Area, unglaciated during the Pleistocene, and contains more caves than any other Iowa state park.","Drains to the North Fork Maquoketa River, a tributary of the Maquoketa River (approximately 150 miles long), which flows southeast to the Mississippi; within the Maquoketa River HUC 07060006 watershed (~1,895 sq mi); classic karst hydrology with sinkholes, underground streams, and natural bridges formed by groundwater dissolution of Silurian dolomite over an estimated 500,000 years.",,370
Mississippi Palisades State Park,"42.1384, -90.159","Ho-Chunk (Hochungra) and Sauk (Ozaakiiwaki) held the Mississippi-Rock River corridor of northwestern Illinois; Meskwaki (Meshkwahkihaki) allied with the Sauk and claimed the eastern Iowa and western Illinois strip from roughly 1722; Woodland and Hopewell cultures documented in rock shelters and burial mounds throughout Carroll County; Apple River Fort, 15 miles from the park, was attacked by Black Hawk (Ma-ka-tai-me-she-kia-kiak) and approximately 200 warriors on June 24, 1832, during the Black Hawk War; Ho-Chunk ceded their northwestern Illinois lands by Treaty with the Winnebago (September 15, 1832, Fort Armstrong) and were removed to Iowa; Sauk and Meskwaki ceded all lands east of the Mississippi by Treaty with the Sauk and Foxes (September 21, 1832, Fort Armstrong) following their defeat in the Black Hawk War; both nations relocated to Iowa under federal removal policy","[Illinois, State park, National Natural Landmark]",~425 Mya Silurian dolomite,"Oak-hickory forest dominates the uplands of this unglaciated Driftless Area landscape, transitioning to sugar maple and basswood in moist north-facing ravines; dolomite bluff faces and karst sinkholes support relict fern communities and calciphilic wildflowers including yellow lady's slipper orchid, Virginia bluebells, bloodroot, and wild ginger.",Located at the confluence of the Apple River and the Mississippi River in the Upper Mississippi watershed; ravines drain west to the Mississippi; karst topography produces sinkholes and vertical caves within the park.,,"2,500"
Mounds State Park,"40.0958, -85.6201","Adena culture (c. 250 BCE-50 CE) and Hopewell tradition (c. 100 BCE-500 CE) constructed and used the 10 earthworks; evidence of human occupation at the site from c. 8000 BCE through 1400 CE; a New Castle Phase affiliated Hopewell group built earthworks throughout the West Fork White River watershed; Delaware (Lenape; Lenapehoking) held the White River corridor as primary territory; Kikthawenund (Chief William Anderson, c. 1740-1831), Unalatchgo Lenape leader whose name means ""creaking boughs,"" lived in what is now Madison County and signed the Treaty of Greenville (1795) as one of 14 Lenape leaders; the city of Anderson is named for him; Miami (Myaamiaki) jointly held the White River drainage; Delaware and Miami ceded Indiana lands via Treaty with the Delawares (October 3, 1818) and Treaty of St. Mary's (October 6, 1818), both encompassed within the New Purchase; Delaware reserved occupancy for three additional years, with Kikthawenund relocating approximately 1,350 Lenape to the Current River, Missouri in 1821","[Indiana, State park]",~420 Mya Silurian dolomite and limestone forming bedrock subcrop; Pleistocene Wisconsinan glacial till (Tipton Till Plain) blankets the upland surface; limestone bluffs exposed along the White River valley,Mixed hardwood upland forest with spring wildflower communities; limestone bluffs and riparian woodland along the White River; diverse songbird populations and waterfowl; 10 miles of trails through varied woodland habitat,"West Fork of the White River flows along the park's southern boundary, forming limestone bluffs; spring-fed creeks drain the interior woodland; artesian wells documented within the park; part of the West Fork White River sub-watershed draining central Indiana",,290
